,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
la Qualità dell'Alimento crea la Qualità dell'Uomo,,,,,,,,
,,,,,,,,
LISTINO PREZZI PRODOTTI BIOLOGICI - PRICE LIST ORGANIC PRODUCTS ,,,,,,,,
,,,,,,,,
VALIDITA' SINO AL 30/06/2012,,,,,,,,
,,,,,,,,
,,,,,,,,
LINEA SNACKS BIOLOGICI/ORGANIC SNACKS LINE,,,,,,,,
,,,,,,,,
"CODICE PRODOTTO
CODE","TIPOLOGIA
TYPE",,"PZ PER COLLO
PC PER BOX","PESO AL PZ
WEIGHT PER PC","PREZZO AL PEZZO
PRICE PER PC",IVA ,,
5SNAMA,SNACK AL MAIS/CORN SNACKS,,12,50 g,€ 0.310,10%,,
5SNARI,SNACKS AL RISO E MAIS/CORN AND RICE SNACKS,,12,50 g,€ 0.310,10%,,
5SNAFA,SNACKS CON FARRO/CORN AND SPELT SNACKS,,12,50 g,€ 0.330,10%,,
5SNAKA,SNACKS CON KAMUT®/CORN AND KAMUT® SNACKS,,12,50 g,€ 0.330,10%,,
,,,,,,,,
,,,,,,,,
LINEA ORECCHIETTE DI CRUSCA BIOLOGICHE/ORGANIC BRAN PUFFED PRODUCTS LINE,,,,,,,,
,,,,,,,,
"CODICE PRODOTTO
CODE","TIPOLOGIA
TYPE",,"PZ PER COLLO
PC PER BOX","PESO AL PZ
WEIGHT PER PC","PREZZO AL PEZZO
PRICE PER PC",IVA,,
5ORECRU,ORECCHIETTE DI CRUSCA/BRAN PUFFED PRODUCT,,06,250 g,€ 0.730,10%,,
5OREPRU,ORECCHIETTE DI CRUSCA CON PRUGNA/BRAN PUFFED PRODUCT WITH PLUM,,06,250 g,€ 0.960,10%,,
5OREFAR,ORECCHIETTE DI CRUSCA DI FARRO/SPELT BRAN PUFFED PRODUCT ,,12,100 g,€ 0.430,10%,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SPECIALITA' ALIMENTARI 100% DI …. BIOLOGICHE/ORGANIC WHOLEGRAIN SPECIALITY 100% OF…,,,,,,,,
,,,,,,,,
"CODICE PRODOTTO
CODE","TIPOLOGIA
TYPE","FORMATO
SHAPE","PZ PER COLLO
PC PER BOX","PESO AL PZ
WEIGHT PER PC","PREZZO AL PEZZO
PRICE PER PC",IVA,,
1FARFUS,SPECIALITA' ALIMENTARE INTEGRALE 100% DI FARRO DICOCCUM ITALIANO/100% WHOLEGRAIN ITALIAN DICOCCUM SPELT SPECIALITY,fusilli,12,500 g,€ 1.20,4%,,
1FARPEN,SPECIALITA' ALIMENTARE INTEGRALE 100% DI FARRO DICOCCUM ITALIANO/100% WHOLEGRAIN ITALIAN DICOCCUM SPELT SPECIALITY,penne ,12,500 g,€ 1.20,4%,,
1FARMAR,SPECIALITA' ALIMENTARE INTEGRALE 100% DI FARRO DICOCCUM ITALIANO/100% WHOLEGRAIN ITALIAN DICOCCUM SPELT SPECIALITY,marziani,12,500 g,€ 1.20,4%,,
