5SNAMA,8013885080045,1905.90.55,CORN SNACKS/SNACK AL MAIS,,12,50 g,€ 0.355,10%,,,,
5SNARI,8013885080052,1905.90.55,CORN AND RICE SNACKS/SNACKS AL RISO E MAIS,,12,50 g,€ 0.360,10%,,,,
5SNAFA,8013885080069,1905.90.55,CORN AND SPELT SNACKS/SNACKS AL MAIS E FARRO,,12,50 g,€ 0.370,10%,,,,
5SNAKA,8013885080083,1905.90.55,"CORN AND 30% KAMUT® KHORASAN WHEAT SNACKS SNACKS AL MAIS E GRANO KHORASAN KAMUT®",,12,50 g,€ 0.375,10%,,,,
5SNAGRS,8013885080090,1905.90.55,CORN AND BUCKWHEAT SNACKS/SNACKS AL MAIS E GRANO SARACENO,,12,50 g,€ 0.393,10%,,,,
5ORECRU,8013885080014,1905.90.55,BRAN PUFFED PRODUCT/ORECCHIETTE DI CRUSCA,,06,250 g,€ 0.791,10%,,,,
5OREPRU,8013885080021,1905.90.55,BRAN PUFFED PRODUCT WITH PLUM/ORECCHIETTE DI CRUSCA CON PRUGNA,,06,250 g,€ 1.048,10%,,,,
5OREFAR,8013885080038,1905.90.55,SPELT BRAN PUFFED PRODUCT/ORECCHIETTE DI CRUSCA DI FARRO ,,12,100 g,€ 0.466,10%,,,,
1FARFUS,8013885050123,1902.19.10,"100% WHOLEGRAIN TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA INTEGRALE 100% DI FARRO DICOCCUM ITALIANO",fusilli,12,500 g,€ 1.48,4%,,,,
1FARPEN,8013885050130,1902.19.10,"100% WHOLEGRAIN TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA INTEGRALE 100% DI FARRO DICOCCUM ITALIANO",penne ,12,500 g,€ 1.48,4%,,,,
1FARSED,8013885050185,1902.19.10,"100% WHOLEGRAIN TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA INTEGRALE 100% DI FARRO DICOCCUM ITALIANO",sedani,12,500 g,€ 1.48,4%,,,,
1FARCON,8013885050178,1902.19.10,"100% WHOLEGRAIN TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA INTEGRALE 100% DI FARRO DICOCCUM ITALIANO","conchiglie medie",12,500 g,€ 1.48,4%,,,,
1FARMAR,8013885050147,1902.19.10,"100% WHOLEGRAIN TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA INTEGRALE 100% DI FARRO DICOCCUM ITALIANO",marziani,12,500 g,€ 1.48,4%,,,,
1FARSPA,8013885050116,1902.19.10,"100% WHOLEGRAIN TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA INTEGRALE 100% DI FARRO DICOCCUM ITALIANO",spaghetti,12,500 g,€ 1.48,4%,,,,
1FARDIT,8013885050161,1902.19.10,"100% WHOLEGRAIN TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA INTEGRALE 100% DI FARRO DICOCCUM ITALIANO",ditalini,12,500 g,€ 1.48,4%,,,,
1FARVER,8013885050192,1902.19.10,"100% WHOLEGRAIN TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA INTEGRALE 100% DI FARRO DICOCCUM ITALIANO",vermicelli,12,500 g,€ 1.48,4%,,,,
1FARSTE,8013885050154,1902.19.10,"100% WHOLEGRAIN TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA INTEGRALE 100% DI FARRO DICOCCUM ITALIANO",stelline,12,500 g,€ 1.48,4%,,,,
1FARBPEN,8013885051649,1902.19.10,"TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA 100% FARRO DICOCCUM ITALIANO",penne ,12,500 g,€ 2.01,4%,,,,
1FARBFUS,8013885051656,1902.19.10,"TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA 100% FARRO DICOCCUM ITALIANO",fusilli,12,500 g,€ 2.01,4%,,,,
1FARBCONC,8013885051663,1902.19.10,"TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA 100% FARRO DICOCCUM ITALIANO","conchiglie medie",12,500 g,€ 2.01,4%,,,,
1FARBSPA,8013885051625,1902.19.10,"TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA 100% FARRO DICOCCUM ITALIANO",spaghetti,12,500 g,€ 2.01,4%,,,,
1FARBCOR,8013885051670,1902.19.10,"TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA 100% FARRO DICOCCUM ITALIANO",cornetti,12,500 g,€ 2.01,4%,,,,
1FARBVER,8013885051687,1902.19.10,"TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA PASTA 100% FARRO DICOCCUM ITALIANO",vermicelli,12,500 g,€ 2.01,4%,,,,
1KAMFUS,8013885050215,1902.19.10,"100% WHOLEGRAIN KAMUT® khorasan wheat ITALIAN PASTA PASTA 100% INTEGRALE grano khorasan KAMUT®         ",fusilli,12,500 g,€ 2.09,4%,,,,
1KAMPEN,8013885050222,1902.19.10,"100% WHOLEGRAIN KAMUT® khorasan wheat ITALIAN PASTA PASTA 100% INTEGRALE grano khorasan KAMUT®         ",penne,12,500 g,€ 2.09,4%,,,,
1KAMSPA,8013885050246,1902.19.10,"100% WHOLEGRAIN KAMUT® khorasan wheat ITALIAN PASTA PASTA 100% INTEGRALE grano khorasan KAMUT®         ",spaghetti,12,500 g,€ 2.09,4%,,,,
1KAMSTE,8013885050253,1902.19.10,"100% WHOLEGRAIN KAMUT® khorasan wheat ITALIAN PASTA PASTA 100% INTEGRALE grano khorasan KAMUT®         ",stelline,12,500 g,€ 2.09,4%,,,,
1KAMBPEN,8013885051724,1902.19.10,"KAMUT® khorasan wheat ITALIAN PASTA PASTA 100% grano khorasan KAMUT®",penne,12,500 g,€ 2.53,4%,,,,
1KAMBFUS,,1902.19.10,"KAMUT® khorasan wheat ITALIAN PASTA PASTA 100% grano khorasan KAMUT®",fusilli,12,500 g,€ 2.53,4%,,,,
1KAMBSPA,8013885051717,1902.19.10,"KAMUT® khorasan wheat ITALIAN PASTA PASTA 100% grano khorasan KAMUT®",spaghetti,12,500 g,€ 2.53,4%,,,,
1KAMBVER,8013885051748,1902.19.10,"KAMUT® khorasan wheat ITALIAN PASTA PASTA 100% grano khorasan KAMUT®",vermicelli,12,500 g,€ 2.53,4%,,,,
1RISSED,8013885050819,1902.19.10,"100% WHOLEGRAIN BROWN RICE ITALIAN PASTA PASTA 100% INTEGRALE RISO ITALIANO",sedani,12,500 g,€ 1.90,4%,,,,
1RISSTE,8013885050826,1902.19.10,"100% WHOLEGRAIN BROWN RICE ITALIAN PASTA PASTA 100% INTEGRALE RISO ITALIANO",stelline,12,500 g,€ 1.90,4%,,,,
1RISCONC,8013885050840,1902.19.10,"100% WHOLEGRAIN BROWN RICE ITALIAN PASTA PASTA 100% INTEGRALE RISO ITALIANO",conchiglie,12,500 g,€ 1.90,4%,,,,
1RISFUS,8013885050833,1902.19.10,"100% WHOLEGRAIN BROWN RICE ITALIAN PASTA PASTA 100% INTEGRALE RISO ITALIANO",fusilli,12,500 g,€ 1.90,4%,,,,
1NERPEN,8013885050925,1902.19.10,"100% WHOLEGRAIN BLACK RICE ITALIAN PASTA PASTA 100% INTEGRALE RISO NERO ITALIANO",penne,12,250 g,€ 1.51,4%,,,,
1NERFUS",8013885050918,1902.19.10,"100% WHOLEGRAIN BLACK RICE ITALIAN PASTA PASTA 100% INTEGRALE RISO NERO ITALIANO",fusilli,12,250 g,€ 1.51,4%,,,,
1NERCON",8013885050208,1902.19.10,"100% WHOLEGRAIN BLACK RICE ITALIAN PASTA PASTA 100% INTEGRALE RISO NERO ITALIANO",conchiglie,12,250 g,€ 1.51,4%,,,,
